X,DATE,Vms,Ta,RH,VPDhpa,SVWC30cm,Rn,PPFD,Rainfall,Month,Day,year,time,DOY,Cof,G,GPPob,LE,SIF,NIRv,fPAR
1,2023/3/12,2,7.514,36.807,6.55688,34,21.5242,65.5111,0,3,12,2023,7.5,71,420,50,0.024790741,166.36705,0.01553,0.16939,0.48915
2,2023/3/12,2,7.032,41.2648,5.89656,33.9,216.425,323.318,0,3,12,2023,8.5,71,420,50,0.189444444,137.83059,0.0423,0.1675,0.49054
3,2023/3/12,2,6.991,42.3215,5.77424,33.9,311.452,431.877,0,3,12,2023,9,71,420,50,0.260211111,121.23736,0.11016,0.13586,0.46024
4,2023/3/12,2,6.923,43.322,5.64769,33.9,395.93,515.897,0,3,12,2023,9.5,71,420,50,0.319325926,102.68034,0.07105,0.14893,0.47548
5,2023/3/12,2,6.831,48.391,5.11041,33.9,541.325,692.871,0,3,12,2023,10.5,71,420,50,0.082540741,56.0865,0.06292,0.1675,0.49054
6,2023/3/12,2,6.532,51.2341,4.73064,33.9,605.393,768.748,0,3,12,2023,11,71,420,50,0.566948148,33.09859,0.12078,0.11678,0.45835
7,2023/3/12,2,6.172,49.3885,4.78907,33.9,655.654,824.606,0,3,12,2023,11.5,71,420,50,0.156301852,18.68815,0.13556,0.2595,0.51863
8,2023/3/12,2,6.043,47.6892,4.90581,33.9,688.007,862.777,0,3,12,2023,12,71,420,50,0.357377778,15.69914,0.2325,0.13713,0.46315
9,2023/3/12,2,6.653,44.0149,5.47602,33.9,685.982,864.954,0,3,12,2023,13,71,420,50,0.419385185,13.63366,0.08479,0.13491,0.46342
10,2023/3/12,2,6.907,44.3298,5.54122,33.9,656.519,833.446,0,3,12,2023,13.5,71,420,50,0.35862037,12.66902,0.26867,0.14231,0.46538
11,2023/3/12,2,7.091,44.0979,5.63504,33.9,619.441,793.384,0,3,12,2023,14,71,420,50,0.471085185,11.85203,0.22477,0.1675,0.49054
12,2023/3/12,2,7.316,43.0107,5.83387,33.8,559.49,728.863,0,3,12,2023,14.5,71,420,50,0.500011111,11.01557,0.19007,0.1675,0.49054
13,2023/3/12,2,7.097,40.544,5.99557,33.8,445.099,595.802,0,3,12,2023,15,71,420,50,0.489948148,10.05274,0.16217,0.19141,0.49055
14,2023/3/12,2,7.077,39.3525,6.10728,33.8,387.786,535.885,0,3,12,2023,15.5,71,420,50,0.367175926,9.13732,0.21239,0.14825,0.47519
15,2023/3/12,2,7.165,37.5411,6.3277,33.8,321.169,468.953,0,3,12,2023,16,71,420,50,0.34812963,8.3673,0.21301,0.1675,0.49054
16,2023/3/12,2,6.881,35.4674,6.41146,33.8,229.859,366.916,0,3,12,2023,16.5,71,420,50,0.226498148,7.60715,0.18764,0.19523,0.50084
17,2023/3/12,2,6.533,34.2892,6.37395,33.8,121.353,240.718,0,3,12,2023,17,71,420,50,0.228942593,6.82298,0.09228,0.21244,0.50793
18,2023/3/12,2,5.741,35.1491,5.9553,33.8,-54.3945,40.8606,0,3,12,2023,18,71,420,50,0.063127778,5.72742,0.01256,0.183,0.49473
19,2023/3/12,2,5.336,35.5082,5.75797,33.8,-85.4033,4.06256,0,3,12,2023,18.5,71,420,50,0.021816667,5.5476,0.00274,0.1675,0.49054
20,2023/3/13,2,3.704,22.8093,6.1465,33.7,-72.9224,43.3943,0,3,13,2023,7,72,420,50,0.041474074,187.64679,0.02862,0.1379,0.45945
21,2023/3/13,2,4,32.7547,5.46772,33.6,38.4353,181.001,0,3,13,2023,7.5,72,420,50,0.21282963,175.58429,0.07108,0.1414,0.46394
22,2023/3/13,2,4.143,30.1442,5.73732,33.6,157.552,311.183,0,3,13,2023,8,72,420,50,0.417511111,160.73391,0.10679,0.11015,0.45716
23,2023/3/13,2,4.287,31.5402,5.67988,33.6,272.438,434.257,0,3,13,2023,8.5,72,420,50,0.424192593,143.18253,0.13905,0.14088,0.4678
24,2023/3/13,2,6.315,37.5949,5.96306,33.6,606.524,794.471,0,3,13,2023,10.5,72,420,50,0.855677778,47.50743,0.27449,0.14248,0.47481
